SUID,tf,interaction,target,confidence_score
2280,RORC,negative_KC,1190002H23RIK,-1.714798809
2281,RORC,positive_KC,2210010C17RIK,1.799808437
2282,RORC,negative_KC,2310004I24RIK,-1.544677658
2283,RORC,positive_KC,2310007L24RIK,1.872658775
2284,RORC,negative_KC,2610015P09RIK,-1.728569221
2285,RORC,negative_KC,4932438H23RIK,-1.852345538
2286,RORC,positive_KC,AI504432,1.734188341
2287,RORC,negative_KC,ABLIM1,-1.787305711
2288,RORC,negative_KC,ACADM,-1.530459997
2289,RORC,negative_KC,ACP6,-1.551065522
2290,RORC,negative_KC,ACSL6,-1.566686051
2291,RORC,positive_KC,ADAM19,1.969606249
2292,RORC,positive_KC,ADH4,1.823097232
2293,RORC,negative_KC,AKAP13,-1.820506725
2294,RORC,negative_KC,ALPK2,-1.95065817
2295,RORC,negative_KC,ANXA2,-1.620685528
2296,RORC,negative_KC,ANXA4,-1.551757405
2297,RORC,negative_KC,ARHGAP18,-1.790104144
2298,RORC,negative_KC,ARHGAP25,-1.699432986
2299,RORC,negative_KC,ARHGEF10,-1.735287436
2300,RORC,negative_KC,ARID5A,-1.943584089
2301,RORC,positive_KC,ARNTL,1.912337712
2302,RORC,negative_KC,ASB2,-1.748675578
2303,RORC,negative_KC,ATL3,-1.502072141
2304,RORC,negative_KC,ATP8B4,-1.640960539
2305,RORC,negative_KC,AUH,-1.933223558
2306,RORC,positive_KC,AVPI1,1.960331794
2307,RORC,negative_KC,B230120H23RIK,-1.534714272
2308,RORC,negative_KC,B4GALT1,-1.886787716
2309,RORC,negative_KC,BATF3,-1.950986629
2310,RORC,negative_KC,BCL2,-1.969444648
2311,RORC,positive_KC,BCL2A1D,1.7356179
2312,RORC,positive_KC,BCL2L1,1.940181674
2313,RORC,negative_KC,BCL2L11,-1.852842746
2314,RORC,negative_KC,BCL3,-1.838767164
2315,RORC,positive_KC,BCL6,1.942877117
2316,RORC,positive_KC,BIK,1.579749399
2317,RORC,positive_KC,BTBD19,1.851103988
2318,RORC,positive_KC,C030046E11RIK,1.584547619
2319,RORC,negative_KC,CALM2,-1.518525557
2320,RORC,negative_KC,CAMK4,-1.950538906
2321,RORC,negative_KC,CAPN2,-1.814001455
2322,RORC,negative_KC,CASP6,-1.730750496
2323,RORC,negative_KC,CBLB,-1.965971631
2324,RORC,positive_KC,CCDC63,1.967374552
2325,RORC,positive_KC,CCL20,1.816924774
2326,RORC,positive_KC,CCR6,1.966262442
2327,RORC,negative_KC,CCR7,-1.981128673
2328,RORC,negative_KC,CCR8,-1.61037952
2329,RORC,negative_KC,CD2,-1.966977856
2330,RORC,positive_KC,CD226,1.7364744
2331,RORC,negative_KC,CD27,-1.860063376
2332,RORC,negative_KC,CD3G,-1.757261448
2333,RORC,negative_KC,CD53,-1.78361592
2334,RORC,positive_KC,CD83,1.834671528
2335,RORC,negative_KC,CDKN1B,-1.698353554
2336,RORC,positive_KC,CDON,1.790954876
2337,RORC,negative_KC,CELF2,-1.881153838
2338,RORC,positive_KC,CERK,1.7829737
2339,RORC,negative_KC,CHD7,-1.835678259
2340,RORC,negative_KC,CHMP4B,-1.73447066
2341,RORC,positive_KC,CHST2,1.919630974
2342,RORC,negative_KC,CNDP2,-1.70633294
2343,RORC,positive_KC,COBLL1,1.815244094
2344,RORC,positive_KC,CPD,1.940519012
2345,RORC,positive_KC,CRELD1,1.514410135
2346,RORC,negative_KC,CREM,-1.858999556
2347,RORC,negative_KC,CRISPLD2,-1.887027822
2348,RORC,positive_KC,CRYBG3,1.882134524
2349,RORC,negative_KC,CTLA2B,-1.651841586
2350,RORC,positive_KC,CYSLTR1,1.730325223
2351,RORC,positive_KC,CYTH1,1.931200456
2352,RORC,negative_KC,CYTIP,-1.964159755
2353,RORC,negative_KC,D4WSU53E,-1.631587972
2354,RORC,negative_KC,D6MM5E,-1.864620443
2355,RORC,negative_KC,DCLK1,-1.570803625
2356,RORC,negative_KC,DGKA,-1.676670159
2357,RORC,positive_KC,DOT1L,1.918238648
2358,RORC,negative_KC,DPP4,-1.543503576
2359,RORC,positive_KC,DPY19L3,1.970343734
2360,RORC,negative_KC,DUSP6,-1.86716539
2361,RORC,negative_KC,EBF1,-1.505836997
2362,RORC,positive_KC,EBI3,1.817806316
2363,RORC,negative_KC,EFEMP2,-1.768498614
2364,RORC,negative_KC,EGLN3,-1.5836287
2365,RORC,positive_KC,EGR2,1.902503602
2366,RORC,positive_KC,EGR3,1.644651405
2367,RORC,negative_KC,EIF4E3,-1.884467951
2368,RORC,negative_KC,ELOVL5,-1.511463109
2369,RORC,negative_KC,ELOVL6,-1.679427821
2370,RORC,negative_KC,EMP1,-1.623990663
2371,RORC,negative_KC,ENO3,-1.914377023
2372,RORC,positive_KC,ETS2,1.662884237
2373,RORC,negative_KC,FAH,-1.841465713
2374,RORC,positive_KC,FAM110A,1.68984058
2375,RORC,positive_KC,FAM124B,1.662760111
2376,RORC,negative_KC,FAM162A,-1.781393469
2377,RORC,negative_KC,FAM169B,-1.814499451
2378,RORC,negative_KC,FAM20A,-1.614767644
2379,RORC,negative_KC,FAM3C,-1.725266189
2380,RORC,negative_KC,FAM46C,-1.848416728
2381,RORC,negative_KC,FAM49B,-1.706277897
2382,RORC,negative_KC,FAS,-1.517568697
2383,RORC,negative_KC,FILIP1L,-1.734494426
2384,RORC,positive_KC,FLNB,1.833715892
2385,RORC,negative_KC,FLOT1,-1.920190671
2386,RORC,negative_KC,FNIP1,-1.615334468
2387,RORC,negative_KC,FOXO1,-1.751650589
2388,RORC,positive_KC,FRMD4B,1.885968992
2389,RORC,negative_KC,FRMD6,-1.750810703
2390,RORC,positive_KC,FTSJ2,1.640915864
2391,RORC,positive_KC,FURIN,1.919351944
2392,RORC,negative_KC,FUT4,-1.820597404
2393,RORC,positive_KC,FUT7,1.858033321
2394,RORC,positive_KC,GADD45B,1.924845226
2395,RORC,negative_KC,GALC,-1.785328566
2396,RORC,positive_KC,GALNT12,1.844982222
2397,RORC,negative_KC,GBP4,-1.70837009
2398,RORC,negative_KC,GBP5,-1.790869
2399,RORC,negative_KC,GBP8,-1.871478345
2400,RORC,negative_KC,GCNT1,-1.828082951
2401,RORC,negative_KC,GEM,-1.54552424
2402,RORC,negative_KC,GIMAP4,-1.852402956
2403,RORC,negative_KC,GIMAP9,-1.808004127
2404,RORC,negative_KC,GM8369,-1.957560151
2405,RORC,negative_KC,GNPTAB,-1.752067648
2406,RORC,negative_KC,GPR146,-1.848082135
2407,RORC,negative_KC,GPR15,-1.720589547
2408,RORC,negative_KC,GPR18,-1.911880832
2409,RORC,positive_KC,GPR183,1.956338249
2410,RORC,negative_KC,GSTT2,-1.888827979
2411,RORC,positive_KC,GYPC,1.92310126
2412,RORC,negative_KC,GZMB,-1.521680663
2413,RORC,positive_KC,H1F0,1.710365374
2414,RORC,negative_KC,HIF1A,-1.854776515
2415,RORC,negative_KC,HIPK2,-1.756866772
2416,RORC,negative_KC,HIST1H2AG,-1.898099855
2417,RORC,positive_KC,HIST1H4D,1.881774752
2418,RORC,positive_KC,HIST2H2BB,1.927569333
2419,RORC,positive_KC,HIVEP1,1.944335488
2420,RORC,positive_KC,HIVEP3,1.979147977
2421,RORC,negative_KC,HMHA1,-1.854754972
2422,RORC,positive_KC,HVCN1,1.698465014
2423,RORC,positive_KC,HYAL2,1.656986858
2424,RORC,positive_KC,IFI203,1.704341936
2425,RORC,positive_KC,IGFBP7,1.957548597
2426,RORC,negative_KC,IL10,-1.93143533
2427,RORC,positive_KC,IL12RB1,1.9238084
2428,RORC,negative_KC,IL12RB2,-1.889266464
2429,RORC,positive_KC,IL17A,1.990056519
2430,RORC,positive_KC,IL17F,1.987887256
2431,RORC,negative_KC,IL17RA,-1.856362973
2432,RORC,positive_KC,IL1R1,1.980862521
2433,RORC,negative_KC,IL1RN,-1.69922739
2434,RORC,positive_KC,IL2,1.779839412
2435,RORC,negative_KC,IL21R,-1.871836357
2436,RORC,positive_KC,IL22,1.769642595
2437,RORC,positive_KC,IL23R,1.990976609
2438,RORC,negative_KC,IL24,-1.654852481
2439,RORC,negative_KC,IL4RA,-1.948112587
2440,RORC,negative_KC,IL6RA,-1.924449781
2441,RORC,negative_KC,IL7R,-1.954453817
2442,RORC,positive_KC,IL9,1.69711358
2443,RORC,positive_KC,ILTIFB,1.78426857
2444,RORC,positive_KC,INPP5B,1.929053889
2445,RORC,negative_KC,IQGAP2,-1.64773881
2446,RORC,positive_KC,IRAK2,1.895952851
2447,RORC,negative_KC,IRF1,-1.714481566
2448,RORC,negative_KC,IRS2,-1.823437794
2449,RORC,positive_KC,ITFG3,1.790449697
2450,RORC,positive_KC,ITGA3,1.954229046
2451,RORC,positive_KC,ITGAL,1.918822041
2452,RORC,negative_KC,ITGB7,-1.560450034
2453,RORC,negative_KC,ITK,-1.952049847
2454,RORC,negative_KC,JARID2,-1.697743938
2455,RORC,positive_KC,KCNA3,1.804104032
2456,RORC,positive_KC,KCNMB4,1.877802805
2457,RORC,negative_KC,KCTD12,-1.690214838
2458,RORC,negative_KC,LACTB,-1.749704236
2459,RORC,negative_KC,LACTB2,-1.5518798
2460,RORC,negative_KC,LAG3,-1.909361899
2461,RORC,positive_KC,LAMC1,1.903168948
2462,RORC,negative_KC,LETM2,-1.874464625
2463,RORC,positive_KC,LIF,1.975887589
2464,RORC,positive_KC,LSP1,1.918517122
2465,RORC,positive_KC,LTA,1.986087038
2466,RORC,positive_KC,LTB4R1,1.838245846
2467,RORC,negative_KC,LY6A,-1.911813385
2468,RORC,negative_KC,LY6C1,-1.515023031
2469,RORC,negative_KC,LY6I,-1.766584138
2470,RORC,negative_KC,MAF,-1.509695017
2471,RORC,positive_KC,MAFF,1.633034085
2472,RORC,negative_KC,MALT1,-1.752296266
2473,RORC,negative_KC,MAML2,-1.874781095
2474,RORC,negative_KC,MAN1A,-1.963473776
2475,RORC,negative_KC,MAP2K6,-1.572535887
2476,RORC,negative_KC,MAP3K5,-1.647429238
2477,RORC,negative_KC,MAP4K4,-1.803344987
2478,RORC,positive_KC,MAPK14,1.895276469
2479,RORC,positive_KC,MARCKS,1.594724987
2480,RORC,positive_KC,MAST4,1.891681023
2481,RORC,negative_KC,MCL1,-1.906027983
2482,RORC,negative_KC,MCTP2,-1.661017675
2483,RORC,positive_KC,MDM1,1.885464016
2484,RORC,positive_KC,MFHAS1,1.982541687
2485,RORC,negative_KC,MGLL,-1.89271013
2486,RORC,positive_KC,MIR1949,1.589418558
2487,RORC,negative_KC,MS4A6B,-1.639669543
2488,RORC,negative_KC,MS4A6C,-1.743966004
2489,RORC,negative_KC,MT1,-1.521008107
2490,RORC,negative_KC,MTRF1,-1.617677041
2491,RORC,positive_KC,MYB,1.845115949
2492,RORC,positive_KC,NDST1,1.685027251
2493,RORC,negative_KC,NDUFV3,-1.739478692
2494,RORC,negative_KC,NEAT1,-1.903825344
2495,RORC,positive_KC,NEBL,1.977537945
2496,RORC,negative_KC,NFIL3,-1.959725211
2497,RORC,positive_KC,NFKBIA,1.889577334
2498,RORC,positive_KC,NFKBID,1.510077665
